depart1 | time: 369.239380
arrive2 | time: 369.905823
depart1 | time: 370.334259
arrive1 | time: 370.883453
arrive2 | time: 371.490417
depart1 | time: 371.634674
arrive2 | time: 371.635132
depart1 | time: 372.422485
depart1 | time: 373.231903
arrive2 | time: 373.976196
arrive1 | time: 375.418915
depart1 | time: 376.110199
arrive1 | time: 376.337524
arrive1 | time: 376.668793
depart1 | time: 376.917419
arrive1 | time: 376.919250
arrive1 | time: 377.187164
arrive2 | time: 378.529297
depart1 | time: 378.577026
arrive2 | time: 378.820465
depart1 | time: 379.463470
arrive1 | time: 381.007751
arrive1 | time: 381.048004
arrive1 | time: 381.184631
arrive2 | time: 381.277924
arrive1 | time: 381.352417
arrive1 | time: 381.506592
arrive1 | time: 381.599976
arrive1 | time: 382.210144
arrive1 | time: 382.467957
depart1 | time: 382.739563
depart1 | time: 382.800781
depart1 | time: 383.667358
arrive2 | time: 384.004639
depart1 | time: 384.073914
arrive2 | time: 385.969940
arrive1 | time: 386.230225
arrive1 | time: 386.315063
arrive1 | time: 386.714630
arrive1 | time: 386.982239
depart1 | time: 387.230347
arrive1 | time: 387.540955
depart1 | time: 387.701263
depart1 | time: 387.759735
arrive2 | time: 388.235413
arrive1 | time: 388.383636
arrive1 | time: 388.652100
depart1 | time: 388.711212
depart1 | time: 389.251801
arrive1 | time: 389.355530
arrive1 | time: 389.889587
depart1 | time: 390.510071
arrive1 | time: 390.533630
arrive2 | time: 390.733612
depart1 | time: 391.626953
arrive1 | time: 391.812744
arrive2 | time: 392.120789
depart1 | time: 392.175964
depart1 | time: 392.260956
arrive1 | time: 393.124756
depart1 | time: 393.370941
arrive1 | time: 393.555267
depart1 | time: 393.754547
arrive1 | time: 393.871429
arrive1 | time: 394.546112
arrive1 | time: 394.688690
depart1 | time: 394.966736
arrive1 | time: 395.013458
arrive1 | time: 395.839783
arrive2 | time: 396.338409
depart1 | time: 396.691254
arrive1 | time: 396.793274
depart1 | time: 396.949036
arrive1 | time: 397.065674
depart1 | time: 397.317932
depart1 | time: 398.184326
arrive2 | time: 398.236694
depart1 | time: 398.745972
arrive1 | time: 399.351440
arrive2 | time: 399.448914
arrive1 | time: 399.465302
arrive1 | time: 399.620087
depart1 | time: 399.729645
arrive1 | time: 400.502258
arrive1 | time: 400.551910
depart1 | time: 400.576263
arrive1 | time: 400.779388
depart1 | time: 400.911499
depart1 | time: 401.164948
arrive1 | time: 401.248932
arrive1 | time: 401.379456
depart1 | time: 401.837402
depart1 | time: 402.275696
depart1 | time: 403.075806
depart1 | time: 403.096680
arrive1 | time: 403.472076
arrive1 | time: 403.617126
depart1 | time: 404.156189
arrive1 | time: 404.222015
arrive1 | time: 404.790314
depart1 | time: 404.917786
arrive2 | time: 405.189362
depart1 | time: 405.458649
arrive1 | time: 406.170349
depart1 | time: 406.553375
depart1 | time: 406.834869
arrive2 | time: 407.278809
arrive1 | time: 407.579529
depart1 | time: 408.314392
arrive1 | time: 408.452332
arrive1 | time: 408.996307
depart1 | time: 409.056763
depart1 | time: 409.105957
depart1 | time: 409.143982
arrive1 | time: 409.697021
depart1 | time: 410.137329
arrive2 | time: 411.100891
arrive1 | time: 411.613922
depart1 | time: 411.709656
arrive1 | time: 412.066833
depart1 | time: 412.439514
arrive2 | time: 412.808075
arrive1 | time: 412.903168
arrive1 | time: 413.694366
arrive1 | time: 414.069427
arrive1 | time: 414.166412
depart1 | time: 414.199738
arrive1 | time: 414.260376
arrive1 | time: 414.944305
arrive1 | time: 414.976776
depart1 | time: 415.212952
depart1 | time: 415.637177
arrive1 | time: 415.793060
arrive1 | time: 415.846924
depart1 | time: 416.064789
arrive2 | time: 416.837250
depart1 | time: 417.363312
arrive2 | time: 418.391479
depart1 | time: 418.759857
arrive2 | time: 418.817963
depart1 | time: 419.607239
depart1 | time: 419.732758
arrive1 | time: 420.239441
arrive1 | time: 420.381348
arrive2 | time: 420.441284
